,country,iso_code,SE.XPD.TOTL.GB.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,IT.NET.USER.P2,SP.POP.GROW,SP.POP.TOTL,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,Sputnik V,Sinopharm/Beijing,Johnson&Johnson,Moderna,Sinopharm/Wuhan,Covaxin,CanSino,EpiVacCorona,january_total_vaccinations,february_total_vaccinations,march_total_vaccinations,april_total_vaccinations,may_total_vaccinations,january_daily_vaccinations,february_daily_vaccinations,march_daily_vaccinations,april_daily_vaccinations,may_daily_vaccinations,religiousity%,population,urban_population_percent,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
33,Ecuador,ECU,12.2825858252389,63572370875.0,132342708928.49417,4247.053922083288,8938.348445412506,23.0015620420625,1.6275416624483587,14587304.5,1,1,1,0,0,0,0,0,0,0,0,0.016858316478314646,0.13846206813778753,1.384315399992956,5.5824206315039415,6.451963776215402,0.0022068657690958813,0.0050908497614763045,0.03881322726029494,0.11141187609035628,0.26077672968899346,68,17688599,63,8.4,51.2,40.5,504.8,942.9,0.4,2.1,1.2,59.4,82.0,80.0
34,Egypt,EGY,12.301465034484867,188785598463.6811,727728080810.1028,2208.2859623882428,8672.41824491963,19.6184144033125,1.9621794049683683,82498720.5,1,0,0,0,1,0,0,0,0,0,0,0.001280938238262422,0.001280938238262422,0.16027216128841776,0.6429043629301889,0.0,0.0002335398803219891,0.0026384474994041373,0.0037195442448080315,0.021482909046650824,0.0,97,102659126,43,4.6,29.3,62.0,131.0,516.3,1.0,0.8,1.4,50.1,99.4,95.0
35,El Salvador,SLV,16.152498465317954,20464482500.0,42743316294.34417,3328.152345330845,6956.299952347394,12.8682548675,0.4885822715300625,6125166.5,1,1,1,0,0,0,0,0,0,0,0,0.0,0.24646010126737486,1.5381420882533572,14.105604764566678,16.457804567306177,0.0,0.022140332430519175,0.030985898094621427,0.3719627194181652,0.46308569381778975,83,6491923,73,7.0,64.5,27.2,293.9,599.5,2.3,1.6,2.3,22.3,99.0,78.0
36,Estonia,EST,13.999706194950985,18467824943.3528,28135199917.71545,13849.59551308894,21080.156494347288,67.16764921375,-0.37096297049690224,1341290.3125,1,1,0,0,0,0,1,0,0,0,0,2.905796593484702,8.4966152681894,20.11799263280955,34.62979001170579,38.450869945043806,0.08007054552791379,0.18803736594890993,0.37092714864170023,0.432247701615973,0.6150882934735717,16,1326693,68,6.7,75.4,22.7,1185.3,1987.7,0.2,3.5,6.5,65.0,100.0,100.0
37,Ethiopia,ETH,24.28029394149781,30439213766.12018,88235106315.42761,336.26518351490347,992.7155192593376,2.8923679474375,2.6947172780081408,84753916.25,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9654830580723375,1.0533545775990396,0.0,0.0,0.0,0.02644248811077115,0.02024837577941641,99,115434444,21,4.0,27.6,37.4,27.5,69.5,15.3,0.1,0.8,0.5,2.7,0.0
38,Fiji,FJI,18.10470094680786,3318504957.6668005,6161195109.6206,3876.0866055530155,7212.930248055367,20.278115478812502,0.6404565627865793,850081.25,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6.239046851899512,0.0,0.0,0.0,0.09930482905940055,0.13359637600507146,0.0,92,897573,59,3.5,63.9,20.6,179.9,313.2,3.1,0.8,2.9,5.4,0.0,100.0
39,Finland,FIN,12.353194372994565,227498066546.40247,196142244167.88043,42554.38968629725,36687.701816467226,79.117245766875,0.37364451922780606,5332740.75,1,1,0,0,0,0,1,0,0,0,0,2.928005424524429,8.155533586889192,17.710069056952996,33.03732770720559,35.92004455962457,0.08050318705885076,0.17117701235594424,0.3037657782378976,0.48440608608641844,0.5057777211620507,56,5542237,86,9.5,77.4,20.4,4117.3,4112.1,0.0,3.8,14.7,76.3,100.0,100.0
40,France,FRA,10.261833117558416,2400728415570.4907,2238308624503.294,37167.51074156327,34653.09639482749,62.650775155625,0.585640179200764,64368266.0,1,1,0,0,0,1,1,0,0,0,0,2.5877759405858565,7.249014646947508,17.704610167425407,33.90203024766256,36.67746010539529,0.07363688313758517,0.16084058126439219,0.31169769254184737,0.5083115961216108,0.6097429161549814,40,65298930,82,11.5,82.9,9.8,4263.4,4782.3,0.0,3.2,9.7,58.6,100.0,100.0
41,France,FRA,10.261833117558416,2400728415570.4907,2238308624503.294,37167.51074156327,34653.09639482749,62.650775155625,0.585640179200764,64368266.0,1,1,0,0,0,1,1,0,0,0,0,2.5877759405858565,7.249014646947508,17.704610167425407,33.90203024766256,36.67746010539529,0.07363688313758517,0.16084058126439219,0.31169769254184737,0.5083115961216108,0.6097429161549814,40,65298930,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0
42,France,FRA,10.261833117558416,2400728415570.4907,2238308624503.294,37167.51074156327,34653.09639482749,62.650775155625,0.585640179200764,64368266.0,1,1,0,0,0,1,1,0,0,0,0,2.5877759405858565,7.249014646947508,17.704610167425407,33.90203024766256,36.67746010539529,0.07363688313758517,0.16084058126439219,0.31169769254184737,0.5083115961216108,0.6097429161549814,40,65298930,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,France,FRA,10.261833117558416,2400728415570.4907,2238308624503.294,37167.51074156327,34653.09639482749,62.650775155625,0.585640179200764,64368266.0,1,1,0,0,0,1,1,0,0,0,0,2.5877759405858565,7.249014646947508,17.704610167425407,33.90203024766256,36.67746010539529,0.07363688313758517,0.16084058126439219,0.31169769254184737,0.5083115961216108,0.6097429161549814,40,65298930,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Georgia,GEO,10.997409126975324,10410220819.178186,24538265585.485497,2662.0000158661273,6237.852082254815,21.3251868378125,-1.076372051162872,4016925.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1961480062340059,1.1369161731829918,1.2939449145582596,0.0,0.0,0.008436832905431546,0.02951749145206448,0.029101222351644574,93,3987805,58,8.4,36.6,55.6,308.0,797.2,2.3,5.1,4.1,130.4,100.0,98.0
45,Germany,DEU,10.50663767920601,3190265551091.4243,3127631153945.224,39027.35709753053,38254.63587672713,72.95923987625,0.03458427316461407,81842102.625,1,1,0,0,0,1,1,0,0,0,0,3.0393038983253113,7.544078100394684,16.902394976405617,35.376194850752775,40.03943196555087,0.08560182113798874,0.15178105738089942,0.28458975143304993,0.5535701450930729,0.7991648559993634,34,83830972,76,11.1,84.7,12.4,4714.3,5463.3,0.0,4.2,13.2,108.0,100.0,100.0
46,Ghana,GHA,23.838493506113696,26170938148.865562,72194287886.31726,1052.5788630712127,2954.056454574611,9.7553819770625,2.489686310844042,23675179.625,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6035186072940597,2.7244647037974015,0.0,0.0,0.0,0.06362368713052008,0.034104168246132494,0.0,95,31181428,57,4.4,38.4,37.8,67.5,189.4,12.8,0.2,1.2,0.0,70.5,0.0
47,Greece,GRC,7.71122398376465,247155112042.2145,290165844538.64343,22480.195105503724,26427.3319846387,40.47963936812501,-0.03425821618080743,10974054.374999998,1,1,0,0,0,0,1,0,0,0,0,2.6050380951064036,8.506111426073677,16.322426026048173,29.74565044378994,32.88351301563598,0.072199158834358,0.2021014368219114,0.24683642281625498,0.42738947758721263,0.39465705697954484,71,10413936,85,8.5,60.7,34.3,1510.7,2261.2,0.3,4.6,3.4,163.5,100.0,100.0
48,Guatemala,GTM,21.36623149447971,39892200233.01505,92122438921.1928,2729.653233660787,6393.6690725253775,12.318379413125,2.206100613581642,14197009.75,1,0,0,0,0,0,1,0,0,0,0,0.0,0.012375230797497935,0.6018735787820881,0.9505835444374839,1.0145686069106983,0.0,0.004171910652169099,0.01741891277386853,0.013088772657179806,0.0064190945359683515,88,17971382,52,5.8,37.2,53.3,241.4,462.4,0.9,0.4,0.9,3.4,96.0,92.0
49,Guinea,GIN,12.48398486773173,5949045183.381079,16364778162.162363,551.3372960437928,1531.1085390223689,2.5223197439375,2.1352832643547037,10524157.3125,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.474897089205679,1.0880976742285566,1.1431719395822044,0.0,0.0,0.0,0.020574199059848558,0.014706686137106188,97,13191279,39,5.5,12.3,49.8,37.5,107.7,27.2,0.1,0.4,0.0,62.0,0.0
50,Honduras,HND,19.2305107116699,14132014262.341545,30222083997.992893,1740.3443642479433,3751.33033121455,12.320156146125,2.088476929742052,7932337.5,1,0,0,0,0,0,1,0,0,0,0,0.0,0.027025576526333372,0.4337081437104163,0.5803752628171868,0.0,0.0,0.0,0.01508389919122152,0.007730863296777762,0.0,84,9931333,57,8.4,45.9,45.0,199.6,400.3,3.1,0.3,0.9,13.7,93.6,17.0
51,Hungary,HUN,10.154842303349428,118205887510.66493,203880370737.59888,11829.139084540768,20412.878673022366,52.930608694374996,-0.24530982953265448,10010661.4375,1,1,0,1,1,0,1,0,0,0,0,3.097954915620709,9.703186097158621,29.54805326397116,61.846266713601295,66.98920244577894,0.07413688654267848,0.2080064911938166,0.6177433571329516,1.0073795697444785,1.2511351770192636,39,9655983,72,7.4,65.9,29.7,942.6,1963.2,0.0,3.2,6.6,55.7,100.0,100.0
52,Iceland,ISL,16.357525311983554,14971714280.020506,12438923744.699314,47892.96305249879,39745.873721631186,88.88808112625,1.0800703674508587,311004.3125,1,1,0,0,0,0,1,0,0,0,0,4.543538585830201,9.412870139449927,21.36446661280691,42.520226679312,48.93275726813962,0.10380088963018444,0.15618492294877134,0.3246315460279942,0.5809633090183864,1.2998544225492836,51,341628,94,8.3,81.5,16.9,5063.6,4245.1,0.0,4.0,15.7,101.6,100.0,100.0
53,India,IND,12.464715533786343,1330038561160.0205,4892155575472.957,1078.7796159464392,3978.702393494468,9.143840442937499,1.4318455570625692,1202473291.8125,1,0,0,0,0,0,0,0,1,0,0,0.2719178474888562,1.0345655477192224,4.710683078096957,10.99567023092501,11.762880684745951,0.014380868963274654,0.026103754279685833,0.1108895393348321,0.20264088639873404,0.14511639351857886,76,1382345085,35,3.7,25.4,64.6,62.7,241.5,1.0,0.8,2.1,6.8,79.7,0.0
